#this is data set for training the model 
text,label
I love this product,positive
This is amazing,positive
Best experience ever,positive
I am very happy,positive
Absolutely fantastic service,positive
Great quality and fast delivery,positive
Very satisfied with the results,positive
I really like this app,positive
This made my day,positive
Wonderful experience overall,positive
Superb performance,positive
Highly recommend this,positive
Excellent support team,positive
This works perfectly,positive
Loved the design and features,positive
It exceeded my expectations,positive
Brilliant product,positive
Very easy to use,positive
Top quality,positive
Impressive results,positive
I hate this product,negative
Worst app ever,negative
Very bad experience,negative
Terrible service,negative
Not good at all,negative
I am disappointed,negative
Awful quality,negative
This is frustrating,negative
Waste of money,negative
I will never use this again,negative
Horrible experience,negative
Extremely poor performance,negative
Not worth it,negative
Very slow and buggy,negative
I regret buying this,negative
Disgusting service,negative
Bad quality product,negative
Completely useless,negative
This failed badly,negative
Worst purchase ever,negative
I love using this every day,positive
This is incredibly useful,positive
The experience is smooth and enjoyable,positive
I am very pleased with this,positive
Fantastic job,positive
Highly efficient and reliable,positive
Very helpful and intuitive,positive
Great innovation,positive
I enjoy using this app,positive
Everything works perfectly,positive
It saves me time,positive
Extremely satisfied,positive
Very well built,positive
User friendly interface,positive
Clean and simple design,positive
Highly recommended product,positive
I appreciate the quality,positive
Works flawlessly,positive
Amazing features,positive
Good performance overall,positive
This is terrible and disappointing,negative
I had a bad experience,negative
Nothing works properly,negative
Very frustrating to use,negative
It keeps crashing,negative
Worst design ever,negative
Not user friendly,negative
Very poor experience,negative
I am unhappy with this,negative
Bad service and support,negative
Completely disappointed,negative
It is not working as expected,negative
Too slow and inefficient,negative
Low quality product,negative
I wasted my money,negative
Not recommended at all,negative
Very bad interface,negative
It fails frequently,negative
I am not impressed,negative
Poorly designed system,negative
